iter	Passed	Remaining
0	1	142
1	2	119
2	3	106
3	4	96
4	4	93
5	5	90
6	6	87
7	7	85
8	8	82
9	8	80
10	9	78
11	10	76
12	11	74
13	12	73
14	12	72
15	13	71
16	14	70
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	19	63
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	24	58
29	24	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	33	46
42	34	45
43	35	45
44	36	44
45	37	43
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	54	33
62	55	32
63	56	31
64	57	31
65	59	30
66	60	29
67	61	29
68	63	28
69	64	27
70	66	27
71	67	26
72	69	25
73	70	24
74	71	23
75	72	22
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	81	16
83	83	15
84	84	14
85	85	13
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
